"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PATENT","TOT","NBR","A","1985",153.3452,
"AUS","PATENT","TOT","NBR","A","1986",178.5213,
"AUS","PATENT","TOT","NBR","A","1987",187.8355,
"AUS","PATENT","TOT","NBR","A","1988",119.0797,
"AUS","PATENT","TOT","NBR","A","1989",130.4167,
"AUS","PATENT","TOT","NBR","A","1990",183.8875,
"AUS","PATENT","TOT","NBR","A","1991",188.7245,
"AUS","PATENT","TOT","NBR","A","1992",194.5009,
"AUS","PATENT","TOT","NBR","A","1993",205.8244,
"AUS","PATENT","TOT","NBR","A","1994",243.4016,
"AUS","PATENT","TOT","NBR","A","1995",238.6609,
"AUS","PATENT","TOT","NBR","A","1996",246.0313,
"AUS","PATENT","TOT","NBR","A","1997",300.8423,
"AUS","PATENT","TOT","NBR","A","1998",322.509,
"AUS","PATENT","TOT","NBR","A","1999",335.8161,
"AUS","PATENT","TOT","NBR","A","2000",516.479,
"AUS","PATENT","TOT","NBR","A","2001",465.0668,
"AUS","PATENT","TOT","NBR","A","2002",490.86,
"AUS","PATENT","TOT","NBR","A","2003",495.9277,
"AUS","PATENT","TOT","NBR","A","2004",520.4557,
"AUS","PATENT","TOT","NBR","A","2005",479.3775,
"AUS","PATENT","TOT","NBR","A","2006",362.9035,
"AUS","PATENT","TOT","NBR","A","2007",346.5016,
"AUS","PATENT","TOT","NBR","A","2008",316.6611,
"AUS","PATENT","TOT","NBR","A","2009",349.884,
"AUS","PATENT","TOT","NBR","A","2010",307.7061,
"AUS","PATENT","TOT","NBR","A","2011",320.8119,
"AUS","PATENT","TOT","NBR","A","2012",335.5897,
"AUS","PATENT","TOT","NBR","A","2013",333.3689,
"AUS","PATENT","TOT","NBR","A","2014",336.0204,
"AUS","PATENT","TOT","NBR","A","2015",338.0525,
"AUT","PATENT","TOT","NBR","A","1985",162.0226,
"AUT","PATENT","TOT","NBR","A","1986",157.9,
"AUT","PATENT","TOT","NBR","A","1987",181.9342,
"AUT","PATENT","TOT","NBR","A","1988",213.7556,
"AUT","PATENT","TOT","NBR","A","1989",200.2913,
"AUT","PATENT","TOT","NBR","A","1990",175.0834,
"AUT","PATENT","TOT","NBR","A","1991",189.6622,
"AUT","PATENT","TOT","NBR","A","1992",148.1911,
"AUT","PATENT","TOT","NBR","A","1993",180.4643,
"AUT","PATENT","TOT","NBR","A","1994",213.0989,
"AUT","PATENT","TOT","NBR","A","1995",226.3082,
"AUT","PATENT","TOT","NBR","A","1996",215.7495,
"AUT","PATENT","TOT","NBR","A","1997",263.0842,
"AUT","PATENT","TOT","NBR","A","1998",276.2089,
"AUT","PATENT","TOT","NBR","A","1999",279.1973,
"AUT","PATENT","TOT","NBR","A","2000",346.9139,
"AUT","PATENT","TOT","NBR","A","2001",338.2566,
"AUT","PATENT","TOT","NBR","A","2002",348.3515,
"AUT","PATENT","TOT","NBR","A","2003",347.5426,
"AUT","PATENT","TOT","NBR","A","2004",352.397,
"AUT","PATENT","TOT","NBR","A","2005",408.7929,
"AUT","PATENT","TOT","NBR","A","2006",354.5052,
"AUT","PATENT","TOT","NBR","A","2007",376.6157,
"AUT","PATENT","TOT","NBR","A","2008",340.3832,
"AUT","PATENT","TOT","NBR","A","2009",368.9063,
"AUT","PATENT","TOT","NBR","A","2010",388.9467,
"AUT","PATENT","TOT","NBR","A","2011",362.4328,
"AUT","PATENT","TOT","NBR","A","2012",378.9045,
"AUT","PATENT","TOT","NBR","A","2013",411.8848,
"AUT","PATENT","TOT","NBR","A","2014",437.9839,
"AUT","PATENT","TOT","NBR","A","2015",462.3868,
"BEL","PATENT","TOT","NBR","A","1985",165.2021,
"BEL","PATENT","TOT","NBR","A","1986",175.018,
"BEL","PATENT","TOT","NBR","A","1987",188.9786,
"BEL","PATENT","TOT","NBR","A","1988",194.6786,
"BEL","PATENT","TOT","NBR","A","1989",247.9681,
"BEL","PATENT","TOT","NBR","A","1990",221.7952,
"BEL","PATENT","TOT","NBR","A","1991",255.5585,
"BEL","PATENT","TOT","NBR","A","1992",296.7621,
"BEL","PATENT","TOT","NBR","A","1993",351.4256,
"BEL","PATENT","TOT","NBR","A","1994",357.5952,
"BEL","PATENT","TOT","NBR","A","1995",376.962,
"BEL","PATENT","TOT","NBR","A","1996",364.8396,
"BEL","PATENT","TOT","NBR","A","1997",445.7175,
"BEL","PATENT","TOT","NBR","A","1998",415.3288,
"BEL","PATENT","TOT","NBR","A","1999",405.5803,
"BEL","PATENT","TOT","NBR","A","2000",455.5188,
"BEL","PATENT","TOT","NBR","A","2001",438.6089,
"BEL","PATENT","TOT","NBR","A","2002",473.2647,
"BEL","PATENT","TOT","NBR","A","2003",463.8669,
"BEL","PATENT","TOT","NBR","A","2004",566.8123,
"BEL","PATENT","TOT","NBR","A","2005",542.9292,
"BEL","PATENT","TOT","NBR","A","2006",476.1308,
"BEL","PATENT","TOT","NBR","A","2007",429.8662,
"BEL","PATENT","TOT","NBR","A","2008",458.2345,
"BEL","PATENT","TOT","NBR","A","2009",479.1403,
"BEL","PATENT","TOT","NBR","A","2010",460.995,
"BEL","PATENT","TOT","NBR","A","2011",460.4719,
"BEL","PATENT","TOT","NBR","A","2012",429.6527,
"BEL","PATENT","TOT","NBR","A","2013",441.8517,
"BEL","PATENT","TOT","NBR","A","2014",446.934,
"BEL","PATENT","TOT","NBR","A","2015",448.3414,
"CAN","PATENT","TOT","NBR","A","1985",205.7241,
"CAN","PATENT","TOT","NBR","A","1986",220.0536,
"CAN","PATENT","TOT","NBR","A","1987",292.2994,
"CAN","PATENT","TOT","NBR","A","1988",254.0721,
"CAN","PATENT","TOT","NBR","A","1989",320.0611,
"CAN","PATENT","TOT","NBR","A","1990",290.7644,
"CAN","PATENT","TOT","NBR","A","1991",298.7829,
"CAN","PATENT","TOT","NBR","A","1992",287.9632,
"CAN","PATENT","TOT","NBR","A","1993",305.951,
"CAN","PATENT","TOT","NBR","A","1994",371.9528,
"CAN","PATENT","TOT","NBR","A","1995",390.8414,
"CAN","PATENT","TOT","NBR","A","1996",433.5002,
"CAN","PATENT","TOT","NBR","A","1997",546.7047,
"CAN","PATENT","TOT","NBR","A","1998",566.761,
"CAN","PATENT","TOT","NBR","A","1999",565.8676,
"CAN","PATENT","TOT","NBR","A","2000",613.0839,
"CAN","PATENT","TOT","NBR","A","2001",635.2414,
"CAN","PATENT","TOT","NBR","A","2002",678.2229,
"CAN","PATENT","TOT","NBR","A","2003",673.1531,
"CAN","PATENT","TOT","NBR","A","2004",739.2635,
"CAN","PATENT","TOT","NBR","A","2005",717.6418,
"CAN","PATENT","TOT","NBR","A","2006",667.0325,
"CAN","PATENT","TOT","NBR","A","2007",683.0697,
"CAN","PATENT","TOT","NBR","A","2008",684.3114,
"CAN","PATENT","TOT","NBR","A","2009",673.8105,
"CAN","PATENT","TOT","NBR","A","2010",553.0876,
"CAN","PATENT","TOT","NBR","A","2011",578.4251,
"CAN","PATENT","TOT","NBR","A","2012",526.0086,
"CAN","PATENT","TOT","NBR","A","2013",560.6655,
"CAN","PATENT","TOT","NBR","A","2014",552.5652,
"CAN","PATENT","TOT","NBR","A","2015",537.0815,
"CZE","PATENT","TOT","NBR","A","1985",6.5833,
"CZE","PATENT","TOT","NBR","A","1986",8.4167,
"CZE","PATENT","TOT","NBR","A","1987",6.5,
"CZE","PATENT","TOT","NBR","A","1988",11.75,
"CZE","PATENT","TOT","NBR","A","1989",10.5782,
"CZE","PATENT","TOT","NBR","A","1990",7.3889,
"CZE","PATENT","TOT","NBR","A","1991",10.8667,
"CZE","PATENT","TOT","NBR","A","1992",6.5952,
"CZE","PATENT","TOT","NBR","A","1993",8.8627,
"CZE","PATENT","TOT","NBR","A","1994",5.2309,
"CZE","PATENT","TOT","NBR","A","1995",3.0468,
"CZE","PATENT","TOT","NBR","A","1996",12.2817,
"CZE","PATENT","TOT","NBR","A","1997",11.1532,
"CZE","PATENT","TOT","NBR","A","1998",16.1389,
"CZE","PATENT","TOT","NBR","A","1999",11.8138,
"CZE","PATENT","TOT","NBR","A","2000",10.2278,
"CZE","PATENT","TOT","NBR","A","2001",19.9206,
"CZE","PATENT","TOT","NBR","A","2002",23.2422,
"CZE","PATENT","TOT","NBR","A","2003",22.1024,
"CZE","PATENT","TOT","NBR","A","2004",24.2508,
"CZE","PATENT","TOT","NBR","A","2005",24.9767,
"CZE","PATENT","TOT","NBR","A","2006",27.5046,
"CZE","PATENT","TOT","NBR","A","2007",23.2587,
"CZE","PATENT","TOT","NBR","A","2008",27.8822,
"CZE","PATENT","TOT","NBR","A","2009",17.6284,
"CZE","PATENT","TOT","NBR","A","2010",15.1286,
"CZE","PATENT","TOT","NBR","A","2011",34.8275,
"CZE","PATENT","TOT","NBR","A","2012",36.5133,
"CZE","PATENT","TOT","NBR","A","2013",35.4734,
"CZE","PATENT","TOT","NBR","A","2014",36.5031,
"CZE","PATENT","TOT","NBR","A","2015",37.8622,
"DNK","PATENT","TOT","NBR","A","1985",80.524,
"DNK","PATENT","TOT","NBR","A","1986",94.0034,
"DNK","PATENT","TOT","NBR","A","1987",97.6151,
"DNK","PATENT","TOT","NBR","A","1988",111.8323,
"DNK","PATENT","TOT","NBR","A","1989",120.09,
"DNK","PATENT","TOT","NBR","A","1990",125.3212,
"DNK","PATENT","TOT","NBR","A","1991",127.9158,
"DNK","PATENT","TOT","NBR","A","1992",144.4796,
"DNK","PATENT","TOT","NBR","A","1993",168.6665,
"DNK","PATENT","TOT","NBR","A","1994",188.5405,
"DNK","PATENT","TOT","NBR","A","1995",190.6674,
"DNK","PATENT","TOT","NBR","A","1996",235.4532,
"DNK","PATENT","TOT","NBR","A","1997",222.015,
"DNK","PATENT","TOT","NBR","A","1998",284.3629,
"DNK","PATENT","TOT","NBR","A","1999",267.5838,
"DNK","PATENT","TOT","NBR","A","2000",289.8177,
"DNK","PATENT","TOT","NBR","A","2001",281.4673,
"DNK","PATENT","TOT","NBR","A","2002",287.6257,
"DNK","PATENT","TOT","NBR","A","2003",312.2376,
"DNK","PATENT","TOT","NBR","A","2004",369.5956,
"DNK","PATENT","TOT","NBR","A","2005",389.2349,
"DNK","PATENT","TOT","NBR","A","2006",317.831,
"DNK","PATENT","TOT","NBR","A","2007",315.506,
"DNK","PATENT","TOT","NBR","A","2008",343.1533,
"DNK","PATENT","TOT","NBR","A","2009",258.0089,
"DNK","PATENT","TOT","NBR","A","2010",300.5793,
"DNK","PATENT","TOT","NBR","A","2011",259.3729,
"DNK","PATENT","TOT","NBR","A","2012",282.6394,
"DNK","PATENT","TOT","NBR","A","2013",294.286,
"DNK","PATENT","TOT","NBR","A","2014",297.2446,
"DNK","PATENT","TOT","NBR","A","2015",296.9656,
"FIN","PATENT","TOT","NBR","A","1985",57.5833,
"FIN","PATENT","TOT","NBR","A","1986",86.8574,
"FIN","PATENT","TOT","NBR","A","1987",113.4167,
"FIN","PATENT","TOT","NBR","A","1988",110.7929,
"FIN","PATENT","TOT","NBR","A","1989",130.0232,
"FIN","PATENT","TOT","NBR","A","1990",151.0378,
"FIN","PATENT","TOT","NBR","A","1991",176.9237,
"FIN","PATENT","TOT","NBR","A","1992",231.5369,
"FIN","PATENT","TOT","NBR","A","1993",256.0876,
"FIN","PATENT","TOT","NBR","A","1994",355.8151,
"FIN","PATENT","TOT","NBR","A","1995",322.1792,
"FIN","PATENT","TOT","NBR","A","1996",361.4817,
"FIN","PATENT","TOT","NBR","A","1997",457.1287,
"FIN","PATENT","TOT","NBR","A","1998",470.4201,
"FIN","PATENT","TOT","NBR","A","1999",483.5831,
