"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","MLN_USD","A","1960",7572.6237,
"AUS","GFCF","TOT","MLN_USD","A","1961",7559.9864,
"AUS","GFCF","TOT","MLN_USD","A","1962",8266.1113,
"AUS","GFCF","TOT","MLN_USD","A","1963",9149.0827,
"AUS","GFCF","TOT","MLN_USD","A","1964",10188.5213,
"AUS","GFCF","TOT","MLN_USD","A","1965",11151.0058,
"AUS","GFCF","TOT","MLN_USD","A","1966",12057.4326,
"AUS","GFCF","TOT","MLN_USD","A","1967",13341.3828,
"AUS","GFCF","TOT","MLN_USD","A","1968",14614.8746,
"AUS","GFCF","TOT","MLN_USD","A","1969",16434.2002,
"AUS","GFCF","TOT","MLN_USD","A","1970",18087.8816,
"AUS","GFCF","TOT","MLN_USD","A","1971",19335.5946,
"AUS","GFCF","TOT","MLN_USD","A","1972",20353.3546,
"AUS","GFCF","TOT","MLN_USD","A","1973",22536.2361,
"AUS","GFCF","TOT","MLN_USD","A","1974",22384.3263,
"AUS","GFCF","TOT","MLN_USD","A","1975",25423.375,
"AUS","GFCF","TOT","MLN_USD","A","1976",26954.893,
"AUS","GFCF","TOT","MLN_USD","A","1977",29082.6077,
"AUS","GFCF","TOT","MLN_USD","A","1978",32964.4852,
"AUS","GFCF","TOT","MLN_USD","A","1979",36504.7941,
"AUS","GFCF","TOT","MLN_USD","A","1980",44088.3294,
"AUS","GFCF","TOT","MLN_USD","A","1981",51624.5678,
"AUS","GFCF","TOT","MLN_USD","A","1982",48337.517,
"AUS","GFCF","TOT","MLN_USD","A","1983",51244.484,
"AUS","GFCF","TOT","MLN_USD","A","1984",57186.5113,
"AUS","GFCF","TOT","MLN_USD","A","1985",64537.4346,
"AUS","GFCF","TOT","MLN_USD","A","1986",67212.5874,
"AUS","GFCF","TOT","MLN_USD","A","1987",72626.2043,
"AUS","GFCF","TOT","MLN_USD","A","1988",81416.026,
"AUS","GFCF","TOT","MLN_USD","A","1989",83056.2673,
